GEO_ID,NAME,S2401_C01_001E,S2401_C01_001M,S2401_C01_002E,S2401_C01_002M,PERC_Management,S2401_C01_018E,S2401_C01_018M,PERC_Service,S2401_C01_026E,S2401_C01_026M,PERC_Sales,S2401_C01_029E,S2401_C01_029M,PERC_Natural,S2401_C01_033E,S2401_C01_033M,PERC_Production
id,Geographic Area Name,Estimate!!Total!!16 years and over,Margin of Error!!Total MOE!!16 years and over,"Estimate!!Total!!16 years and over!!Management, business, science, and arts occupations","Margin of Error!!Total MOE!!16 years and over!!Management, business, science, and arts occupations","PERC_Management, business, science, and arts occupations",Estimate!!Total!!16 years and over!!Service occupations,Margin of Error!!Total MOE!!16 years and over!!Service occupations,PERC_Service occupations,Estimate!!Total!!16 years and over!!Sales and office occupations,Margin of Error!!Total MOE!!16 years and over!!Sales and office occupations,PERC_Sales,"Estimate!!Total!!16 years and over!!Natural resources, construction, and maintenance occupations","Margin of Error!!Total MOE!!16 years and over!!Natural resources, construction, and maintenance occupations",PERC_Natural,"Estimate!!Total!!16 years and over!!Production, transportation, and material moving occupations","Margin of Error!!Total MOE!!16 years and over!!Production, transportation, and material moving occupations",PERC_Production
1400000US36005006700,"Census Tract 67, Bronx County, New York",2393,465,420,185,17.5512,981,370,40.9946,444,184,18.5541,141,131,5.8922,407,238,17.0079
1400000US36005006800,"Census Tract 68, Bronx County, New York",1462,316,384,118,26.2654,536,206,36.6621,269,106,18.3995,162,134,11.0807,111,78,7.5923
1400000US36005006900,"Census Tract 69, Bronx County, New York",3109,448,777,280,24.992,974,305,31.3284,864,269,27.7903,122,89,3.9241,372,170,11.9653
1400000US36005007000,"Census Tract 70, Bronx County, New York",1908,432,382,158,20.021,566,170,29.6646,373,150,19.5493,349,229,18.2914,238,180,12.4738
1400000US36005007100,"Census Tract 71, Bronx County, New York",1263,221,370,101,29.2953,332,132,26.2866,330,87,26.1283,74,48,5.8591,157,75,12.4307
1400000US36005007200,"Census Tract 72, Bronx County, New York",2316,363,602,191,25.9931,621,179,26.8135,723,207,31.2176,171,151,7.3834,199,92,8.5924
1400000US36005007300,"Census Tract 73, Bronx County, New York",1346,214,175,87,13.0015,628,156,46.6568,298,113,22.1397,156,83,11.5899,89,60,6.6122
1400000US36005007400,"Census Tract 74, Bronx County, New York",1498,230,346,136,23.0975,500,169,33.3778,396,147,26.4352,64,55,4.2724,192,104,12.8171
1400000US36005007500,"Census Tract 75, Bronx County, New York",2203,307,382,116,17.34,828,240,37.5851,714,186,32.4103,126,70,5.7195,153,76,6.9451
1400000US36005007600,"Census Tract 76, Bronx County, New York",2116,322,330,126,15.5955,717,200,33.8847,357,127,16.8715,337,135,15.9263,375,148,17.7221
1400000US36005007700,"Census Tract 77, Bronx County, New York",755,123,193,67,25.5629,166,60,21.9868,184,67,24.3709,135,68,17.8808,77,50,10.1987
1400000US36005007800,"Census Tract 78, Bronx County, New York",2902,490,576,177,19.8484,968,329,33.3563,790,244,27.2226,205,151,7.0641,363,181,12.5086
1400000US36005007900,"Census Tract 79, Bronx County, New York",2325,463,352,167,15.1398,927,268,39.871,426,186,18.3226,208,121,8.9462,412,248,17.7204
1400000US36005008300,"Census Tract 83, Bronx County, New York",2734,336,489,185,17.8859,871,233,31.8581,726,201,26.5545,223,131,8.1565,425,138,15.545
1400000US36005008400,"Census Tract 84, Bronx County, New York",1318,222,417,149,31.6388,279,81,21.1684,319,86,24.2033,164,64,12.4431,139,73,10.5463
1400000US36005008500,"Census Tract 85, Bronx County, New York",2159,368,521,159,24.1315,770,229,35.6647,471,142,21.8157,44,35,2.038,353,132,16.3502
1400000US36005008600,"Census Tract 86, Bronx County, New York",1397,309,271,127,19.3987,492,184,35.2183,325,116,23.2641,144,135,10.3078,165,73,11.811
1400000US36005008700,"Census Tract 87, Bronx County, New York",2262,326,424,127,18.7445,902,233,39.8762,508,153,22.458,143,77,6.3218,285,110,12.5995
1400000US36005008900,"Census Tract 89, Bronx County, New York",1122,229,213,104,18.984,369,111,32.8877,204,116,18.1818,100,77,8.9127,236,142,21.0339
1400000US36005009000,"Census Tract 90, Bronx County, New York",973,233,333,144,34.224,336,97,34.5324,161,93,16.5468,56,65,5.7554,87,87,8.9414
1400000US36005009200,"Census Tract 92, Bronx County, New York",2711,266,580,133,21.3943,990,172,36.5179,580,150,21.3943,189,87,6.9716,372,132,13.7219
