GEO_ID,NAME,S0101_C01_001E,S0101_C01_001M,S0101_C02_001E,S0101_C02_001M,S0101_C03_001E,S0101_C03_001M,S0101_C04_001E,S0101_C04_001M
id,Geographic Area Name,Estimate!!Total!!Total population,Margin of Error!!Total MOE!!Total population,Estimate!!Percent!!Total population,Margin of Error!!Percent MOE!!Total population,Estimate!!Male!!Total population,Margin of Error!!Male MOE!!Total population,Estimate!!Percent Male!!Total population,Margin of Error!!Percent Male MOE!!Total population
1400000US36061014602,"Census Tract 146.02, New York County, New York",7560,691,(X),(X),2815,381,(X),(X)
1400000US36061014700,"Census Tract 147, New York County, New York",3350,368,(X),(X),1584,184,(X),(X)
1400000US36061014801,"Census Tract 148.01, New York County, New York",3135,265,(X),(X),1465,162,(X),(X)
1400000US36061014802,"Census Tract 148.02, New York County, New York",6786,499,(X),(X),3066,304,(X),(X)
1400000US36061014900,"Census Tract 149, New York County, New York",4973,500,(X),(X),2204,265,(X),(X)
1400000US36061015001,"Census Tract 150.01, New York County, New York",2126,252,(X),(X),898,144,(X),(X)
1400000US36061015002,"Census Tract 150.02, New York County, New York",4999,456,(X),(X),2174,299,(X),(X)
1400000US36061015100,"Census Tract 151, New York County, New York",9253,1094,(X),(X),3609,736,(X),(X)
1400000US36061015200,"Census Tract 152, New York County, New York",7414,587,(X),(X),2992,412,(X),(X)
1400000US36061015300,"Census Tract 153, New York County, New York",10061,883,(X),(X),4770,578,(X),(X)
1400000US36061015400,"Census Tract 154, New York County, New York",13554,1151,(X),(X),5525,817,(X),(X)
1400000US36061015500,"Census Tract 155, New York County, New York",9991,777,(X),(X),4003,514,(X),(X)
1400000US36061015601,"Census Tract 156.01, New York County, New York",5324,733,(X),(X),2565,464,(X),(X)
1400000US36061015602,"Census Tract 156.02, New York County, New York",2458,349,(X),(X),1058,275,(X),(X)
1400000US36061015700,"Census Tract 157, New York County, New York",9755,1401,(X),(X),4430,946,(X),(X)
1400000US36061015801,"Census Tract 158.01, New York County, New York",5136,501,(X),(X),2316,313,(X),(X)
1400000US36061015802,"Census Tract 158.02, New York County, New York",4519,385,(X),(X),2147,267,(X),(X)
1400000US36061015900,"Census Tract 159, New York County, New York",9342,729,(X),(X),4008,575,(X),(X)
1400000US36061016001,"Census Tract 160.01, New York County, New York",3755,325,(X),(X),1769,178,(X),(X)
1400000US36061016002,"Census Tract 160.02, New York County, New York",3574,281,(X),(X),1798,263,(X),(X)
1400000US36061016100,"Census Tract 161, New York County, New York",6204,471,(X),(X),2769,332,(X),(X)
1400000US36061016200,"Census Tract 162, New York County, New York",9906,856,(X),(X),4354,603,(X),(X)
1400000US36061016300,"Census Tract 163, New York County, New York",6822,791,(X),(X),3243,541,(X),(X)
1400000US36061016400,"Census Tract 164, New York County, New York",7286,708,(X),(X),3128,579,(X),(X)
1400000US36061016500,"Census Tract 165, New York County, New York",6323,620,(X),(X),2877,357,(X),(X)
1400000US36061016600,"Census Tract 166, New York County, New York",6747,718,(X),(X),3125,402,(X),(X)
